ST,STATE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
MD,Maryland,Computer and Information Research Scientists,"2,660",0.999,5.10,52.74,"109,700",31.57,41.47,52.54,62.50,76.02,"65,670","86,250","109,280","130,000","158,130",,
MA,Massachusetts,Computer and Information Systems Managers,"16,310",4.622,1.80,73.96,"153,830",43.43,54.14,69.55,86.90,#,"90,330","112,610","144,660","180,750",#,,
MA,Massachusetts,Computer and Mathematical Occupations,"142,010",40.251,1.35,46.38,"96,470",24.80,32.72,44.42,58.14,72.34,"51,590","68,060","92,400","120,930","150,460",,
MA,Massachusetts,Computer and Information Research Scientists,990,0.281,1.43,63.28,"131,620",34.86,44.46,58.05,75.96,97.43,"72,510","92,470","120,730","158,000","202,650",,
MI,Michigan,Computer and Information Systems Managers,"9,350",2.186,0.85,61.98,"128,910",37.57,46.25,58.51,73.19,89.96,"78,140","96,210","121,710","152,230","187,110",,
MI,Michigan,Computer and Mathematical Occupations,"111,400",26.051,0.87,37.89,"78,810",19.54,26.36,36.38,47.55,59.10,"40,640","54,830","75,670","98,890","122,930",,
MI,Michigan,Computer and Information Research Scientists,200,0.047,0.24,48.04,"99,930",27.68,37.90,47.75,57.81,71.85,"57,580","78,820","99,330","120,240","149,450",,
MN,Minnesota,Computer and Information Systems Managers,"9,550",3.363,1.31,67.75,"140,920",41.79,51.77,64.50,79.22,97.18,"86,930","107,680","134,170","164,780","202,130",,
MN,Minnesota,Computer and Mathematical Occupations,"94,290",33.220,1.11,41.69,"86,710",22.47,29.62,39.72,51.49,62.82,"46,740","61,610","82,620","107,100","130,670",,
MN,Minnesota,Computer and Information Research Scientists,240,0.084,0.43,56.35,"117,200",37.27,44.40,56.03,68.86,78.67,"77,530","92,360","116,530","143,220","163,640",,
MS,Mississippi,Computer and Information Systems Managers,"1,150",1.029,0.40,47.24,"98,250",28.15,33.69,42.66,56.15,75.45,"58,550","70,070","88,740","116,780","156,930",,
MS,Mississippi,Computer and Mathematical Occupations,"11,810",10.553,0.35,32.61,"67,820",16.75,22.16,29.76,39.81,49.89,"34,830","46,100","61,900","82,800","103,770",,
MS,Mississippi,Computer and Information Research Scientists,240,0.214,1.09,46.13,"95,960",29.73,37.38,45.10,53.74,63.38,"61,850","77,750","93,820","111,780","131,840",,
MO,Missouri,Computer and Information Systems Managers,"6,220",2.229,0.87,62.62,"130,240",36.23,46.81,59.68,74.26,90.31,"75,370","97,360","124,140","154,460","187,830",,
