,avg_n_pos_per_prev_tenure,avg_pos_len,avg_prev_tenure_len,c_name,n_pos,n_prev_tenures,tenure_len,age,beauty,blur,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise,ethnicity,face_quality,gender,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_mask,mouth_open,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain,smile,nationality,n_followers
49686,1,2861,6697,Dell,1,1,2861,59,56.073,0.914,0.001,0.041,0.108,99.84,0.004,0.004,0.001,White,94.099,Male,None,3.172616,-0.35471538,-0.36669064,0,0,100,0,0.651,1.353,5.539,13.646,99.084,european,3695
17856,1,425.6667,1096,SapientRazorfish,3,1,1277,38,57.366,0.417,0.017,0.034,0.031,99.8,0.046,0.004,0.067,White,89.194,Male,Normal,3.5370898,-10.211291,6.0912614,0,0,100,0,15.827,22.567,1.145,48.322,93.299,hispanic,3692
9538,1,4718,1430,Irish Life & Permanent,1,1,4718,37,60.396,0.83,1.358,0.144,0.144,0.157,38.023,49.223,10.95,White,4.658,Male,None,-7.6140494,-5.24254,23.009018,99.997,0,0.003,0.001,24.004,29.204,0.542,6.822,0.333,hispanic,3691
14161,1,243,31,Microsoft,1,1,243,30,59.741,0.649,0.002,0.014,0.001,99.903,0.025,0.001,0.055,White,92.144,Male,Normal,-1.4916459,2.9884114,3.9728372,100,0,0,0,7.93,77.007,1.509,7.908,89.03,muslim,3690
57844,5,979,4294,Microsoft,6,1,5874,54,45.18,2.725,0,0,0.004,99.996,0,0,0,White,67.193,Female,None,6.8122873,8.465056,-12.323147,0.171,0,99.829,0,99.759,88.217,0.133,99.875,35.587,hispanic,3686
11764,1,518,60,Elements Akademia,1,1,518,34,49.174,0.791,0,0,0,99.998,0.001,0,0,White,77.26,Male,Normal,2.3407876,-7.6923475,11.151109,0,0,100,0,0.479,2.599,5.705,1.115,99.085,south_asian,3681
29181,1,2679,273,Electronic Data Systems,1,1,2679,53,47.409,0.084,32.004,34.054,6.516,15.047,10.833,1.034,0.512,White,9.742,Male,None,-0.7034283,-13.174668,21.843851,100,0,0,0,0.678,4.87,1.352,21.924,14.647,hispanic,3677
33036,1,335,335,Bauer Media Australia,1,1,335,33,64.23,0.364,0.293,0.455,0.7,35.479,46.585,16.164,0.324,Asian,9.564,Female,None,3.1547265,26.8241,-21.76844,0.112,0,99.888,0,2.282,2.815,90.122,3.288,28.486,east_asian,3676
5048,1,455,579,"9th Square, Inc. (Became Bluestreak)",1,1,455,52,65.487,0.282,0.001,0.005,0.001,99.14,0.85,0.001,0.001,White,93.088,Male,None,7.3949404,-5.5278187,-0.26677266,99.999,0,0,0.001,16.091,21.555,6.568,19.658,15.439,european,3675
33562,1,699,1430,RBC Bank (formerly RBC Centura Bank) & RBC Insurance,1,1,699,53,51.557,0.499,0.001,0.001,0.086,99.904,0.001,0.001,0.007,White,92.59,Female,None,8.125551,-2.0971558,0.5318284,0,0,100,0,5.663,2.757,1.287,76.712,98.978,celtic_english,3673
